Eng Url,Rus Name,Rus Url,Rus Description
http://gameofthrones.wikia.com/wiki/Brandon_Stark_(the_Breaker),Брандон Крушитель,http://ru.gameofthrones.wikia.com/wiki/%D0%91%D1%80%D0%B0%D0%BD%D0%B4%D0%BE%D0%BD_%D0%9A%D1%80%D1%83%D1%88%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,"Брандон Старк, известный также как Брандон Крушитель, — король Севера во время Эры героев.
Брандон Крушитель и Король-за-Стеной Джорамун объединили свои силы и отправились к замку Твердыня Ночи, который захватил Король Ночи. Они свергли Короля и Королеву Ночи и тем самым положили конец их правлению в Ночном дозоре.
"
http://gameofthrones.wikia.com/wiki/Brandon_Stark_(the_Builder),Брандон Строитель,http://ru.gameofthrones.wikia.com/wiki/%D0%91%D1%80%D0%B0%D0%BD%D0%B4%D0%BE%D0%BD_%D0%A1%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,"Брандон Старк, также известный как Брандон Строитель,  — король Севера, который жил 8 000 лет назад и умер задолго до начала событий сериала. 
Бран Строитель — один из представителей первых людей в период Эры героев. Во времена правления на Севере дома Дастинов из Барроутона основал дом Старков. Считается, что Бран Строитель возвёл множество значимых сооружений, отчего и получил своё прозвище. Ему приписывают строительство Винтерфелла и Стены, которую он построил с помощью гигантов. Согласно легендам, он также помогал Дюррану строить Штормовой предел. После Тысячелетней войны на Севере дом Старков взял данный регион под свой контроль.
"
http://gameofthrones.wikia.com/wiki/Varly,Варли,http://ru.gameofthrones.wikia.com/wiki/%D0%92%D0%B0%D1%80%D0%BB%D0%B8,"Варли — человек на службе у Старков, появлялся только в серии «Победа или смерть».
После назначения Эддарда десницей, Варли был в числе тех, кто последовал за ним в Королевскую Гавань. Был убит Золотыми Плащами, когда те предали Эддарда.
"
http://gameofthrones.wikia.com/wiki/Benjen_Stark,Бенджен Старк,http://ru.gameofthrones.wikia.com/wiki/%D0%91%D0%B5%D0%BD%D0%B4%D0%B6%D0%B5%D0%BD_%D0%A1%D1%82%D0%B0%D1%80%D0%BA,"Бенджен Старк — младший сын лорда Рикарда Старка. Он присоединился к Ночному Дозору и через некоторое время стал Первым разведчиком. Для Джона Сноу является героем и примером для подражания.
Бенджен ненадолго покидает Стену, чтобы поприветствовать короля Роберта, приехавшего в Винтерфелл. Там он предлагает Джону Сноу вступить в Ночной дозор, но предупреждает, что это довольно тяжёлая служба. Джон соглашается. («Зима близко»)
"
http://gameofthrones.wikia.com/wiki/Brandon_Stark_(son_of_Rickard),Брандон Старк (сын Рикарда),http://ru.gameofthrones.wikia.com/wiki/%D0%91%D1%80%D0%B0%D0%BD%D0%B4%D0%BE%D0%BD_%D0%A1%D1%82%D0%B0%D1%80%D0%BA_(%D1%81%D1%8B%D0%BD_%D0%A0%D0%B8%D0%BA%D0%B0%D1%80%D0%B4%D0%B0),"Брандон Старк — старший брат Эддарда Старка, умер до начала событий сериала. 
В сериале Брандон не появлялся, но его история неоднократно описывалась в дополнительных материалах к сериалу.
"
http://gameofthrones.wikia.com/wiki/Arya_Stark,Арья Старк,http://ru.gameofthrones.wikia.com/wiki/%D0%90%D1%80%D1%8C%D1%8F_%D0%A1%D1%82%D0%B0%D1%80%D0%BA,"Арья Старк — младшая дочь лорда Эддарда Старка из Винтерфелла и его жены Кейтилин Старк.
Арья Старк — младшая из дочерей и третий ребенок леди Кейтилин и лорда Эддарда Старка. Она родилась и выросла на Севере, в замке Винтерфелл. У нее есть старшая сестра Санса, с которой она часто ссорится, а также старший брат Робб и двое младших — Бран и Рикон. Также у Арьи есть двоюродный брат Джон Сноу, выдаваемый за бастарда ее отца.
"
http://gameofthrones.wikia.com/wiki/Bran_Stark,Бран Старк,http://ru.gameofthrones.wikia.com/wiki/%D0%91%D1%80%D0%B0%D0%BD_%D0%A1%D1%82%D0%B0%D1%80%D0%BA,"Брандон Старк, которого обычно называют просто Бран, — представитель дома Старков из Винтерфелла. Его жизнь безвозвратно изменилась, когда он получил серьёзную травму при падении с башни. 
Бран взял себе лютоволка, которого назвал Лето, и у них образовалась сильная связь (как и у всего этого поколения Старков). Он может смотреть глазами лютоволка, пока спит, так как Бран является варгом — человеком с магическими способностями, способным переселяться в животных и даже людей.
"
http://gameofthrones.wikia.com/wiki/Winterfell,Винтерфелл,http://ru.gameofthrones.wikia.com/wiki/%D0%92%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D1%84%D0%B5%D0%BB%D0%BB,"Винтерфелл — родовой замок дома Старков. Согласно преданию, он был построен восемь тысячелетий назад.
Это большой замок, расположенный в центре Севера и являвшийся его столицей. Рядом проходит Королевский тракт, по которому, проделав путь в тысячу миль, можно добраться до Королевской гавани. Сам замок построен на вершине холма, под которым бьют горячие источники, что позволяет пережить здесь даже самые холодные зимы. Под Винтерфеллом находятся катакомбы, используемые в качестве склепа дома Старков. Также в замке, как и во всех замках Севера, есть богороща, место поклонения Старым Богам. Рядом с замком расположено небольшое поселение, которое называется Зимний городок.
"
http://gameofthrones.wikia.com/wiki/Jory_Cassel,Джори Кассель,http://ru.gameofthrones.wikia.com/wiki/%D0%94%D0%B6%D0%BE%D1%80%D0%B8_%D0%9A%D0%B0%D1%81%D1%81%D0%B5%D0%BB%D1%8C,"Джори Кассель — капитан стражи дома Старков в Винтерфелле. Он верный и надёжный слуга и отличный фехтовальщик. Его отличает шрам на лице, который Джори получил во время восстания Грейджоя, когда войска осадили замок Пайк.
Джори сопровождает Эддарда Старка и его семью к месту казни дезертира Уилла, а на обратном пути домой вместе с остальными находит лютоволков. («Зима близко»)
"
http://gameofthrones.wikia.com/wiki/Jeyne_Poole,Джейни Пуль,http://ru.gameofthrones.wikia.com/wiki/%D0%94%D0%B6%D0%B5%D0%B9%D0%BD%D0%B8_%D0%9F%D1%83%D0%BB%D1%8C,"Джейн училась вышиванию у септы Мордейн вместе с Сансой. На празднике в честь приезда короля Роберта в Винтерфелл она сидела рядом со своей подругой. Когда Санса бросила взгляд на принца Джоффри и увидела, что тот смотрит на неё, она смущённо отвернулась и стала беседовать с Джейни. («Зима близко»)
В Королевской гавани Санса, беспокоясь о том, что не сможет родить Джоффри наследника, вспоминает, что у матери Джейни пять дочерей и ни одного сына. («Калеки, бастарды и сломанные вещи»)
"
